月份,城市名称,城市编码,当月营业额,当月天数,当月天均营业额,上月营业额,上月天均营业额,上上月天均营业额,天均营业额环比上月增长
2025-01,北京市,10,1335663.3,31,43085.91,0,0,0,
2025-02,北京市,10,1380458.84,28,49302.1,1335663.3,43085.91,0,14.4%
2025-03,北京市,10,1659704.51,31,53538.86,1380458.84,49302.1,43085.91,8.6%
2025-04,北京市,10,1542544.02,30,51418.13,1659704.51,53538.86,49302.1,-4.0%
2025-05,北京市,10,1642295.13,31,52977.26,1542544.02,51418.13,53538.86,3.0%
2025-06,北京市,10,1764079.54,30,58802.65,1642295.13,52977.26,51418.13,11.0%
2025-07,北京市,10,2106721.22,31,67958.75,1764079.54,58802.65,52977.26,15.6%
2025-08,北京市,10,2434129.58,31,78520.31,2106721.22,67958.75,58802.65,15.5%
2025-09,北京市,10,2557547.5,30,85251.58,2434129.58,78520.31,67958.75,8.6%
2025-10,北京市,10,2344870.27,31,75640.98,2557547.5,85251.58,78520.31,-11.3%
2025-11,北京市,10,2774280.16,30,92476.01,2344870.27,75640.98,85251.58,22.3%
2025-12,北京市,10,563257.64,31,18169.6,2774280.16,92476.01,75640.98,-80.4%
2025-01,广州市,20,959973.79,31,30966.9,0,0,0,
2025-02,广州市,20,1068693.87,28,38167.64,959973.79,30966.9,0,23.3%
2025-03,广州市,20,1239304.21,31,39977.56,1068693.87,38167.64,30966.9,4.7%
2025-04,广州市,20,1296203.22,30,43206.77,1239304.21,39977.56,38167.64,8.1%
2025-05,广州市,20,1337974.1,31,43160.45,1296203.22,43206.77,39977.56,-0.1%
2025-06,广州市,20,1427196.61,30,47573.22,1337974.1,43160.45,43206.77,10.2%
2025-07,广州市,20,1500728.64,31,48410.6,1427196.61,47573.22,43160.45,1.8%
2025-08,广州市,20,1683761.17,31,54314.88,1500728.64,48410.6,47573.22,12.2%
2025-09,广州市,20,1571815.93,30,52393.86,1683761.17,54314.88,48410.6,-3.5%
2025-10,广州市,20,1648448.59,31,53175.76,1571815.93,52393.86,54314.88,1.5%
2025-11,广州市,20,1600984.44,30,53366.15,1648448.59,53175.76,52393.86,0.4%
2025-12,广州市,20,308952.25,31,9966.2,1600984.44,53366.15,53175.76,-81.3%
2025-01,上海市,21,1156477.18,31,37305.72,0,0,0,
2025-02,上海市,21,1294868.81,28,46245.31,1156477.18,37305.72,0,24.0%
2025-03,上海市,21,1556961.84,31,50224.58,1294868.81,46245.31,37305.72,8.6%
2025-04,上海市,21,1458980.27,30,48632.68,1556961.84,50224.58,46245.31,-3.2%
2025-05,上海市,21,1583190.45,31,51070.66,1458980.27,48632.68,50224.58,5.0%
2025-06,上海市,21,1583864.22,30,52795.47,1583190.45,51070.66,48632.68,3.4%
2025-07,上海市,21,1669059.15,31,53840.62,1583864.22,52795.47,51070.66,2.0%
2025-08,上海市,21,1884729.12,31,60797.71,1669059.15,53840.62,52795.47,12.9%
2025-09,上海市,21,1906927.27,30,63564.24,1884729.12,60797.71,53840.62,4.6%
2025-10,上海市,21,1922367.22,31,62011.85,1906927.27,63564.24,60797.71,-2.4%
2025-11,上海市,21,1875523.64,30,62517.45,1922367.22,62011.85,63564.24,0.8%
2025-12,上海市,21,368784.81,31,11896.28,1875523.64,62517.45,62011.85,-81.0%
2025-01,重庆市,23,3840030.32,31,123871.95,0,0,0,
2025-02,重庆市,23,4168395.97,28,148871.28,3840030.32,123871.95,0,20.2%
