月份,城市,城市编码,营业额,上月营业额,上上月营业额,营业额环比上月增长
2025-01,北京市,10,1335663.3,0,0,
2025-02,北京市,10,1380458.84,1335663.3,0,3.35%
2025-03,北京市,10,1659704.51,1380458.84,1335663.3,20.23%
2025-04,北京市,10,1542544.02,1659704.51,1380458.84,-7.06%
2025-05,北京市,10,1642295.13,1542544.02,1659704.51,6.47%
2025-06,北京市,10,1764079.54,1642295.13,1542544.02,7.42%
2025-07,北京市,10,2106721.22,1764079.54,1642295.13,19.42%
2025-08,北京市,10,2434129.58,2106721.22,1764079.54,15.54%
2025-09,北京市,10,2557547.5,2434129.58,2106721.22,5.07%
2025-10,北京市,10,2344870.27,2557547.5,2434129.58,-8.32%
2025-11,北京市,10,2774280.16,2344870.27,2557547.5,18.31%
2025-12,北京市,10,563257.64,2774280.16,2344870.27,-79.70%
2025-01,广州市,20,959973.79,0,0,
2025-02,广州市,20,1068693.87,959973.79,0,11.33%
2025-03,广州市,20,1239304.21,1068693.87,959973.79,15.96%
2025-04,广州市,20,1296203.22,1239304.21,1068693.87,4.59%
2025-05,广州市,20,1337974.1,1296203.22,1239304.21,3.22%
2025-06,广州市,20,1427196.61,1337974.1,1296203.22,6.67%
2025-07,广州市,20,1500728.64,1427196.61,1337974.1,5.15%
2025-08,广州市,20,1683761.17,1500728.64,1427196.61,12.20%
2025-09,广州市,20,1571815.93,1683761.17,1500728.64,-6.65%
2025-10,广州市,20,1648448.59,1571815.93,1683761.17,4.88%
2025-11,广州市,20,1600984.44,1648448.59,1571815.93,-2.88%
2025-12,广州市,20,308952.25,1600984.44,1648448.59,-80.70%
2025-01,上海市,21,1156477.18,0,0,
2025-02,上海市,21,1294868.81,1156477.18,0,11.97%
2025-03,上海市,21,1556961.84,1294868.81,1156477.18,20.24%
2025-04,上海市,21,1458980.27,1556961.84,1294868.81,-6.29%
2025-05,上海市,21,1583190.45,1458980.27,1556961.84,8.51%
2025-06,上海市,21,1583864.22,1583190.45,1458980.27,0.04%
2025-07,上海市,21,1669059.15,1583864.22,1583190.45,5.38%
2025-08,上海市,21,1884729.12,1669059.15,1583864.22,12.92%
2025-09,上海市,21,1906927.27,1884729.12,1669059.15,1.18%
2025-10,上海市,21,1922367.22,1906927.27,1884729.12,0.81%
2025-11,上海市,21,1875523.64,1922367.22,1906927.27,-2.44%
2025-12,上海市,21,368784.81,1875523.64,1922367.22,-80.34%
2025-01,重庆市,23,3840030.32,0,0,
2025-02,重庆市,23,4168395.97,3840030.32,0,8.55%
2025-03,重庆市,23,4514977.88,4168395.97,3840030.32,8.31%
2025-04,重庆市,23,4352355.39,4514977.88,4168395.97,-3.60%
2025-05,重庆市,23,4674950.49,4352355.39,4514977.88,7.41%
2025-06,重庆市,23,4564144.62,4674950.49,4352355.39,-2.37%
2025-07,重庆市,23,4533084.8,4564144.62,4674950.49,-0.68%
2025-08,重庆市,23,4689771.13,4533084.8,4564144.62,3.46%
2025-09,重庆市,23,4502016.18,4689771.13,4533084.8,-4.00%
2025-10,重庆市,23,4465356.28,4502016.18,4689771.13,-0.81%
2025-11,重庆市,23,4164477.84,4465356.28,4502016.18,-6.74%
2025-12,重庆市,23,811283.42,4164477.84,4465356.28,-80.52%
2025-01,南京市,25,430742.4,0,0,
2025-02,南京市,25,438919.42,430742.4,0,1.90%
2025-03,南京市,25,501033.2,438919.42,430742.4,14.15%
2025-04,南京市,25,477151.06,501033.2,438919.42,-4.77%
2025-05,南京市,25,468947.88,477151.06,501033.2,-1.72%
2025-06,南京市,25,486973.08,468947.88,477151.06,3.84%
2025-07,南京市,25,516277.77,486973.08,468947.88,6.02%
2025-08,南京市,25,550464.29,516277.77,486973.08,6.62%
2025-09,南京市,25,520910.56,550464.29,516277.77,-5.37%
2025-10,南京市,25,572417.88,520910.56,550464.29,9.89%
2025-11,南京市,25,551260.97,572417.88,520910.56,-3.70%
2025-12,南京市,25,97740.81,551260.97,572417.88,-82.27%
2025-01,成都市,28,13973229.59,0,0,
2025-02,成都市,28,14668565.96,13973229.59,0,4.98%
2025-03,成都市,28,15948843.7,14668565.96,13973229.59,8.73%
2025-04,成都市,28,14775150.3,15948843.7,14668565.96,-7.36%
2025-05,成都市,28,15764970.74,14775150.3,15948843.7,6.70%
2025-06,成都市,28,15423749.28,15764970.74,14775150.3,-2.16%
2025-07,成都市,28,15871852,15423749.28,15764970.74,2.91%
2025-08,成都市,28,16162794.37,15871852,15423749.28,1.83%
2025-09,成都市,28,15312824.93,16162794.37,15871852,-5.26%
2025-10,成都市,28,14938229.95,15312824.93,16162794.37,-2.45%
2025-11,成都市,28,14188919.86,14938229.95,15312824.93,-5.02%
2025-12,成都市,28,2769199.36,14188919.86,14938229.95,-80.48%
2025-01,杭州市,571,1399569.87,0,0,
2025-02,杭州市,571,1415539.32,1399569.87,0,1.14%
2025-03,杭州市,571,1731887.64,1415539.32,1399569.87,22.35%
2025-04,杭州市,571,1660657.09,1731887.64,1415539.32,-4.11%
2025-05,杭州市,571,1747815.86,1660657.09,1731887.64,5.25%
2025-06,杭州市,571,1737265.16,1747815.86,1660657.09,-0.60%
2025-07,杭州市,571,1836487.31,1737265.16,1747815.86,5.71%
2025-08,杭州市,571,1935075.33,1836487.31,1737265.16,5.37%
2025-09,杭州市,571,1841204.93,1935075.33,1836487.31,-4.85%
2025-10,杭州市,571,1990711.18,1841204.93,1935075.33,8.12%
2025-11,杭州市,571,2028841.55,1990711.18,1841204.93,1.92%
2025-12,杭州市,571,388493.55,2028841.55,1990711.18,-80.85%
2025-01,宁波市,574,263358.96,0,0,
2025-02,宁波市,574,243316.6,263358.96,0,-7.61%
2025-03,宁波市,574,297174.99,243316.6,263358.96,22.14%
2025-04,宁波市,574,265022.92,297174.99,243316.6,-10.82%
2025-05,宁波市,574,287195.26,265022.92,297174.99,8.37%
2025-06,宁波市,574,281055.02,287195.26,265022.92,-2.14%
2025-07,宁波市,574,299218.21,281055.02,287195.26,6.46%
2025-08,宁波市,574,329264.61,299218.21,281055.02,10.04%
2025-09,宁波市,574,287590.83,329264.61,299218.21,-12.66%
2025-10,宁波市,574,287441.86,287590.83,329264.61,-0.05%
2025-11,宁波市,574,226499.77,287441.86,287590.83,-21.20%
2025-12,宁波市,574,43573,226499.77,287441.86,-80.76%
2025-01,深圳市,755,4231009.89,0,0,
2025-02,深圳市,755,4302666.69,4231009.89,0,1.69%
2025-03,深圳市,755,5178598.02,4302666.69,4231009.89,20.36%
2025-04,深圳市,755,5033040.92,5178598.02,4302666.69,-2.81%
2025-05,深圳市,755,5352826.31,5033040.92,5178598.02,6.35%
2025-06,深圳市,755,5355607.92,5352826.31,5033040.92,0.05%
2025-07,深圳市,755,5629514.7,5355607.92,5352826.31,5.11%
2025-08,深圳市,755,6093140.43,5629514.7,5355607.92,8.24%
2025-09,深圳市,755,5534516.97,6093140.43,5629514.7,-9.17%
2025-10,深圳市,755,5961951.09,5534516.97,6093140.43,7.72%
2025-11,深圳市,755,5744878.3,5961951.09,5534516.97,-3.64%
2025-12,深圳市,755,1083907.32,5744878.3,5961951.09,-81.13%
2025-01,绵阳市,816,744899.77,0,0,
2025-02,绵阳市,816,862165.6,744899.77,0,15.74%
2025-03,绵阳市,816,801476.43,862165.6,744899.77,-7.04%
2025-04,绵阳市,816,721989.93,801476.43,862165.6,-9.92%
2025-05,绵阳市,816,746219.59,721989.93,801476.43,3.36%
2025-06,绵阳市,816,696035.37,746219.59,721989.93,-6.73%
2025-07,绵阳市,816,683057.19,696035.37,746219.59,-1.86%
2025-08,绵阳市,816,708455.82,683057.19,696035.37,3.72%
2025-09,绵阳市,816,673229.58,708455.82,683057.19,-4.97%
2025-10,绵阳市,816,675668.46,673229.58,708455.82,0.36%
2025-11,绵阳市,816,626477.63,675668.46,673229.58,-7.28%
2025-12,绵阳市,816,118627.5,626477.63,675668.46,-81.06%
2025-01,德阳市,838,806078.8,0,0,
2025-02,德阳市,838,879089.19,806078.8,0,9.06%
2025-03,德阳市,838,883956.02,879089.19,806078.8,0.55%
2025-04,德阳市,838,830631.32,883956.02,879089.19,-6.03%
2025-05,德阳市,838,884811.57,830631.32,883956.02,6.52%
2025-06,德阳市,838,831902.27,884811.57,830631.32,-5.98%
2025-07,广汉市,838,252227.28,593505.7,831902.27,-57.50%
2025-07,德阳市,838,593505.7,831902.27,884811.57,-28.66%
2025-08,德阳市,838,590175.48,254591.75,252227.28,131.81%
2025-08,广汉市,838,254591.75,252227.28,593505.7,0.94%
2025-09,德阳市,838,558638.06,254604.92,590175.48,119.41%
2025-09,广汉市,838,254604.92,590175.48,254591.75,-56.86%
2025-10,德阳市,838,839407.25,558638.06,254604.92,50.26%
