月份,城市编码,城市名称,开店类型,开店数量,初始投资金额,上一周期开店数量,上一周期初始投资金额,开店数量环比增长,初始投资金额环比增长金额,初始投资金额环比增长比例
2025-06,010,北京市,新店,2,1594947,0,0,,1594947,
2025-07,010,北京市,新店,1,596957,2,1594947,-50%,-997990,-62.6%
2025-08,010,北京市,新店,2,1304267,1,596957,100%,707310,118.5%
2025-10,010,北京市,新店,1,648018.28,2,1304267,-50%,-656248.72,-50.3%
2025-11,010,北京市,新店,1,721086.49,1,648018.28,,73068.21,11.3%
2025-12,010,北京市,新店,2,885854.2,1,721086.49,100%,164767.71,22.8%
2025-06,020,广州市,新店,1,517815,0,0,,517815,
2025-08,021,上海市,新店,1,572879,0,0,,572879,
2025-11,021,上海市,新店,1,536654.21,1,572879,,-36224.79,-6.3%
2025-04,023,重庆市,新店,1,612073,0,0,,612073,
2025-09,023,重庆市,新店,1,454622,1,612073,,-157451,-25.7%
2025-09,025,南京市,新店,1,547366,0,0,,547366,
2025-04,028,成都市,新店,2,1453661,0,0,,1453661,
2025-05,028,成都市,新店,1,1169701,2,1453661,-50%,-283960,-19.5%
2025-06,028,成都市,新店,1,677654,1,1169701,,-492047,-42.1%
2025-07,028,成都市,新店,1,597575,1,677654,,-80079,-11.8%
2025-09,028,成都市,新店,2,1206513,1,597575,100%,608938,101.9%
2025-11,028,绵阳市,新店,1,546952.21,2,1206513,-50%,-659560.79,-54.7%
2025-12,028,成都市,新店,1,481353.03,1,546952.21,,-65599.18,-12.0%
2026-01,028,绵阳市,新店,1,535006.05,1,481353.03,,53653.02,11.1%
2025-11,028,成都市,重装,1,753660.84,0,0,,753660.84,
2025-09,0571,杭州市,新店,2,1104093,0,0,,1104093,
2025-10,0571,杭州市,新店,1,553947.04,2,1104093,-50%,-550145.96,-49.8%
2025-04,0755,深圳市,新店,1,693899,0,0,,693899,
2025-05,0755,深圳市,新店,1,801151,1,693899,,107252,15.5%
2025-06,0755,深圳市,新店,1,671888,1,801151,,-129263,-16.1%
2025-08,0755,深圳市,新店,2,1155541,1,671888,100%,483653,72.0%
2025-09,0755,深圳市,新店,1,577802,2,1155541,-50%,-577739,-50.0%
2025-11,0755,深圳市,新店,1,50120,1,577802,,-527682,-91.3%
