月份,城市名称,城市编码,门店名称,门店编码,开业日期,主营业务收入,净利润
2025-04,成都市,028,中粮香颂丽都悦街店,102293,2025-04-29,2880.00,-13006.80
2025-04,成都市,028,财富又一城店,102288,2025-04-25,32751.73,9574.97
2025-04,深圳市,0755,深圳太子湾K11,102257,2025-04-28,6108.00,-17521.60
2025-04,重庆市,023,龙湖高新天街店,102292,2025-04-30,6771.18,-13510.55
2025-05,成都市,028,in99银泰中心店,102296,2025-05-07,342276.27,67501.31
2025-05,成都市,028,中粮香颂丽都悦街店,102293,2025-04-29,80568.02,11084.58
2025-05,成都市,028,财富又一城店,102288,2025-04-25,177620.98,55552.86
2025-05,深圳市,0755,深业上城店,102289,2025-01-01,365199.65,68114.57
2025-05,深圳市,0755,深圳太子湾K11,102257,2025-04-28,130426.65,-1960.03
2025-05,重庆市,023,龙湖高新天街店,102292,2025-04-30,109872.16,2186.27
2025-06,北京市,010,悠唐购物中心,102315,2025-06-24,31289.10,-60544.79
2025-06,北京市,010,通州万象汇店,102295,2025-06-15,44875.21,-57321.10
2025-06,广州市,020,IFC国金天地,102314,2025-06-14,91739.92,-7070.56
2025-06,成都市,028,in99银泰中心店,102296,2025-05-07,413776.44,93852.50
2025-06,成都市,028,中粮香颂丽都悦街店,102293,2025-04-29,76547.11,-15061.91
2025-06,成都市,028,财富又一城店,102288,2025-04-25,187764.40,26548.00
2025-06,成都市,028,金楠天街店,102312,2025-01-02,37412.11,1407.66
2025-06,深圳市,0755,平安金融中心店,102301,2025-06-26,33226.01,-11829.44
2025-06,深圳市,0755,深业上城店,102289,2025-01-01,352594.45,67369.06
2025-06,深圳市,0755,深圳太子湾K11,102257,2025-04-28,132357.81,-1356.68
2025-06,重庆市,023,龙湖高新天街店,102292,2025-04-30,102608.08,5562.58
2025-07,上海市,021,上海CP静安店,102317,2025-08-17,0.00,-14661.90
2025-07,北京市,010,中关村领展,102318,2025-08-03,0.00,-24787.04
2025-07,北京市,010,五棵松万达店,102319,2025-08-12,0.00,-15183.32
2025-07,北京市,010,悠唐购物中心,102315,2025-06-24,168351.90,-18619.95
2025-07,北京市,010,西铁营万达,102306,2025-07-08,97233.82,-32694.04
2025-07,北京市,010,通州万象汇店,102295,2025-06-17,137154.64,-25140.28
2025-07,南京市,025,华采天地店,102331,2025-09-30,0.00,-200.00
2025-07,广州市,020,IFC国金天地,102314,2025-06-14,169972.30,22676.87
2025-07,成都市,028,LACADIERE花园城,102313,2025-09-09,0.00,-2124.17
2025-07,成都市,028,in99银泰中心店,102296,2025-05-07,429459.91,95975.54
2025-07,成都市,028,中粮香颂丽都悦街店,102293,2025-04-29,78032.17,-2738.60
2025-07,成都市,028,双流万达店,102321,2025-07-31,3589.00,-33778.19
2025-07,成都市,028,城南优品道店,102329,2025-09-17,0.00,-1182.26
2025-07,成都市,028,财富又一城店,102288,2025-04-25,196127.73,40280.33
2025-07,成都市,028,金楠天街店,102312,2025-06-16,95703.90,8922.36
2025-07,杭州市,0571,亚奥万象天地店,102328,2025-09-26,0.00,0.00
2025-07,杭州市,0571,杭州龙湖滨江天街,102333,2025-09-29,0.00,-210.00
2025-07,深圳市,0755,南山京基百纳,102307,2025-08-03,0.00,-9266.76
2025-07,深圳市,0755,平安金融中心店,102301,2025-06-26,228232.12,39549.63
2025-07,深圳市,0755,深业上城店,102289,2025-01-01,352235.41,71670.87
2025-07,深圳市,0755,深圳大悦城店,102299,2025-09-05,0.00,-6023.08
2025-07,深圳市,0755,深圳太子湾K11,102257,2025-04-28,131175.67,-5071.87
2025-07,深圳市,0755,金地威新中心店,102298,2025-08-22,0.00,-97.82
2025-07,重庆市,023,龙湖高新天街店,102292,2025-04-30,100837.15,-928.79
2025-08,上海市,021,上海CP静安店,102317,2025-08-17,82994.30,-16329.25
2025-08,北京市,010,中关村领展,102318,2025-08-03,175045.66,-2988.89
2025-08,北京市,010,五棵松万达店,102319,2025-08-12,101661.60,-10336.56
2025-08,北京市,010,悠唐购物中心,102315,2025-06-24,208867.00,-1681.53
2025-08,北京市,010,西铁营万达,102306,2025-07-08,135650.27,-6134.28
2025-08,北京市,010,通州万象汇店,102295,2025-06-17,147150.43,-29820.49
2025-08,南京市,025,华采天地店,102331,2025-09-30,0.00,-190.00
2025-08,广州市,020,IFC国金天地,102314,2025-06-14,208427.29,26567.88
2025-08,成都市,028,LACADIERE花园城,102313,2025-09-09,0.00,-7491.74
2025-08,成都市,028,in99银泰中心店,102296,2025-05-07,443090.33,86019.25
2025-08,成都市,028,中粮香颂丽都悦街店,102293,2025-04-29,81918.34,-1857.81
2025-08,成都市,028,双流万达店,102321,2025-07-31,267194.28,67960.62
2025-08,成都市,028,城南优品道店,102329,2025-09-17,0.00,-3176.76
2025-08,成都市,028,财富又一城店,102288,2025-04-25,191120.68,41061.46
2025-08,成都市,028,金楠天街店,102312,2025-06-16,101566.88,5856.17
2025-08,杭州市,0571,亚奥万象天地店,102328,2025-09-26,0.00,-377.54
2025-08,杭州市,0571,杭州龙湖滨江天街,102333,2025-09-29,0.00,-220.00
2025-08,深圳市,0755,南山京基百纳,102307,2025-08-03,95567.16,-12544.41
