城市,门店名称,开业时间,日营业额目标,4月实际营业额,5月实际营业额,6月实际营业额,7月实际营业额,8月实际营业额,9月实际营业额,10月实际营业额,11月实际营业额,累计营业额达成率,目标营业额达成率,单店完成率
北京,通州万象汇店,2025/6/17,7235.84,-,-,3205.67,4424.48,4746.36,4403.53,4234.09,3922.56,24936.69,43415.03,57%
北京,悠唐购物中心,2025/6/24,6458.42,-,-,4469.27,5430.08,6738.29,7674.63,6486.39,6321.51,37120.17,38750.54,96%
北京,西铁营万达,2025/7/8,4751.99,-,-,-,4051.41,4376.26,4506.84,4194.02,4583.44,21711.97,23759.96,91%
北京,中关村领展,2025/8/3,6075.15,-,-,-,-,6036.46,7627.66,7169.16,8304.70,29137.99,24300.58,120%
北京,五棵松万达店,2025/8/12,6730.29,-,-,-,-,5083.08,5322.05,4736.09,5406.03,20547.25,26921.14,76%
广州,IFC国金天地,2025/6/15,5204.99,-,-,5395.81,5479.69,6723.80,6274.55,5943.96,6806.91,36624.72,31229.92,117%
杭州,亚奥万象天地店,2025/9/26,3686.91,-,-,-,-,-,5185.02,5183.14,5263.46,15631.62,11060.74,141%
杭州,杭州龙湖滨江天街,2025/9/30,5315.25,-,-,-,-,-,5254.30,3571.31,3943.80,12769.41,15945.75,80%
南京,华采天地店,2025/9/30,3834.07,-,-,-,-,-,2762.90,3832.90,4064.65,10660.45,11502.22,93%
上海,上海CP静安店,2025/8/17,6953.09,-,-,-,-,5188.19,5887.55,5983.20,5569.55,22628.48,27812.37,81%
深圳,深圳太子湾K11,2025/4/28,5877.67,2035.40,4200.97,4412.52,4199.06,4108.35,3704.74,4119.64,3708.21,24252.52,47021.34,52%
深圳,平安金融中心店,2025/6/26,4951.42,-,-,6682.40,7363.30,8536.38,7911.20,7752.80,8900.34,47146.42,29708.51,159%
深圳,南山京基百纳,2025/8/3,4484.88,-,-,-,-,3295.71,2489.89,2157.90,2401.03,10344.52,17939.50,58%
深圳,金地威新中心店,2025/8/23,5296.83,-,-,-,-,3077.73,3136.48,3033.53,3598.60,12846.33,21187.31,61%
深圳,深圳大悦城店,2025/9/6,5286.41,-,-,-,-,-,4502.19,5257.30,5544.91,15304.40,15859.24,97%
四川,中粮香颂丽都悦街店,2025/4/29,5690.62,1440.00,2599.21,2552.89,2518.57,2639.41,2881.28,2481.98,2324.83,15398.96,45524.94,34%
四川,LACADIERE花园城,2025/9/9,1700.38,-,-,-,-,-,4666.52,5002.99,4767.22,14436.73,5101.15,283%
重庆,龙湖高新天街店,2025/4/30,3299.67,6771.18,3547.72,3420.75,3252.95,3414.15,3301.27,3031.13,3052.06,19472.30,26397.38,74%
重庆,重庆光环花园城,2025/9/26,2520.63,-,-,-,-,-,2557.13,2678.44,2203.99,7439.56,7561.88,98%
