年份,城市名称,城市编码,今年主营收,今年订单量,今年客单价,上年主营收,上年订单量,上年客单价,客单价增长率,是否增长
2025,北京市,010,22108324.51,110353,200.34,6080525.50,36828,165.11,21.34%,""
2025,广州市,020,15647750.63,83068,188.37,9707588.97,60898,159.41,18.17%,""
2025,上海市,021,18263334.94,84087,217.20,13370513.91,73339,182.31,19.14%,""
2025,重庆市,023,49291854.41,298365,165.21,49207135.38,304277,161.72,2.16%,""
2025,南京市,025,5615580.30,30550,183.82,5121677.08,32761,156.33,17.58%,""
2025,成都市,028,169832812.69,995537,170.59,184709461.53,1054832,175.11,-2.58%,下降
2025,杭州市,0571,19714582.48,103289,190.87,17988342.30,97868,183.80,3.85%,""
2025,宁波市,0574,3112302.03,19062,163.27,3069191.26,23763,129.16,26.41%,""
2025,深圳市,0755,59508119.94,283429,209.96,53141566.85,264646,200.80,4.56%,""
2025,绵阳市,0816,8050249.01,48494,166.01,9878463.43,57211,172.67,-3.86%,下降
2025,德阳市,0838,9349434.22,59272,157.74,9929163.95,61571,161.26,-2.18%,下降
