月份,城市,推拿师日均服务时长,达标标准,是否达标
2025-01,四川,335,300,达标
2025-01,重庆,283,300,不达标
2025-01,深圳,321,300,达标
2025-01,杭州,298,300,不达标
2025-01,南京,302,300,达标
2025-01,宁波,228,300,不达标
2025-01,广州,286,300,不达标
2025-01,上海,283,300,不达标
2025-01,北京,325,300,达标
2025-01,合计,316,300,达标
2025-02,四川,369,300,达标
2025-02,重庆,321,300,达标
2025-02,深圳,351,300,达标
2025-02,杭州,345,300,达标
2025-02,南京,330,300,达标
2025-02,宁波,286,300,不达标
2025-02,广州,316,300,达标
2025-02,上海,302,300,达标
2025-02,北京,352,300,达标
2025-02,合计,351,300,达标
2025-03,四川,361,300,达标
2025-03,重庆,312,300,达标
2025-03,深圳,351,300,达标
2025-03,杭州,331,300,达标
2025-03,南京,295,300,不达标
2025-03,宁波,283,300,不达标
2025-03,广州,325,300,达标
2025-03,上海,310,300,达标
2025-03,北京,355,300,达标
2025-03,合计,342,300,达标
2025-04,四川,353,300,达标
2025-04,重庆,306,300,达标
2025-04,深圳,355,300,达标
2025-04,杭州,319,300,达标
2025-04,南京,308,300,达标
2025-04,宁波,304,300,达标
2025-04,广州,329,300,达标
2025-04,上海,305,300,达标
2025-04,北京,341,300,达标
2025-04,合计,337,300,达标
2025-06,四川,371,300,达标
2025-06,重庆,312,300,达标
2025-06,深圳,355,300,达标
2025-06,杭州,320,300,达标
2025-06,南京,296,300,不达标
2025-06,宁波,291,300,不达标
2025-06,广州,325,300,达标
2025-06,上海,311,300,达标
2025-06,北京,358,300,达标
2025-06,合计,345,300,达标
2025-07,四川,364,300,达标
2025-07,重庆,307,300,达标
2025-07,深圳,352,300,达标
2025-07,杭州,324,300,达标
2025-07,南京,287,300,不达标
2025-07,宁波,257,300,不达标
2025-07,广州,317,300,达标
2025-07,上海,315,300,达标
2025-07,北京,356,300,达标
2025-07,合计,340,300,达标
2025-08,四川,365,300,达标
2025-08,重庆,295,300,不达标
2025-08,深圳,353,300,达标
2025-08,杭州,325,300,达标
2025-08,南京,319,300,达标
2025-08,宁波,266,300,不达标
2025-08,广州,329,300,达标
2025-08,上海,322,300,达标
2025-08,北京,360,300,达标
2025-08,合计,342,300,达标
2025-09,四川,354,300,达标
2025-09,重庆,293,300,不达标
2025-09,深圳,329,300,达标
2025-09,杭州,304,300,达标
2025-09,南京,269,300,不达标
2025-09,宁波,266,300,不达标
2025-09,广州,307,300,达标
2025-09,上海,333,300,达标
2025-09,北京,333,300,达标
2025-09,合计,328,300,达标
