时间,城市,推拿师日均服务不达标占比
Jan-25,四川,26%
Jan-25,重庆,59%
Jan-25,深圳,36%
Jan-25,杭州,50%
Jan-25,南京,44%
Jan-25,宁波,82%
Jan-25,广州,57%
Jan-25,上海,58%
Jan-25,北京,33%
Jan-25,合计,38%
Feb-25,四川,11%
Feb-25,重庆,33%
Feb-25,深圳,23%
Feb-25,杭州,25%
Feb-25,南京,28%
Feb-25,宁波,54%
Feb-25,广州,37%
Feb-25,上海,51%
Feb-25,北京,22%
Feb-25,合计,20%
Mar-25,四川,13%
Mar-25,重庆,40%
Mar-25,深圳,24%
Mar-25,杭州,27%
Mar-25,南京,48%
Mar-25,宁波,57%
Mar-25,广州,37%
Mar-25,上海,42%
Mar-25,北京,23%
Mar-25,合计,25%
Apr-25,四川,18%
Apr-25,重庆,44%
Apr-25,深圳,23%
Apr-25,杭州,39%
Apr-25,南京,40%
Apr-25,宁波,42%
Apr-25,广州,27%
Apr-25,上海,49%
Apr-25,北京,28%
Apr-25,合计,28%
Jun-25,四川,11%
Jun-25,重庆,35%
Jun-25,深圳,23%
Jun-25,杭州,42%
Jun-25,南京,50%
Jun-25,宁波,54%
Jun-25,广州,35%
Jun-25,上海,45%
Jun-25,北京,25%
Jun-25,合计,24%
Jul-25,四川,13%
Jul-25,重庆,46%
Jul-25,深圳,24%
Jul-25,杭州,41%
Jul-25,南京,57%
Jul-25,宁波,67%
Jul-25,广州,44%
Jul-25,上海,42%
Jul-25,北京,24%
Jul-25,合计,28%
Aug-25,四川,13%
Aug-25,重庆,54%
Aug-25,深圳,24%
Aug-25,杭州,37%
Aug-25,南京,43%
Aug-25,宁波,67%
Aug-25,广州,39%
Aug-25,上海,47%
Aug-25,北京,20%
Aug-25,合计,28%
Sep-25,四川,18%
Sep-25,重庆,54%
Sep-25,深圳,37%
Sep-25,杭州,49%
Sep-25,南京,65%
Sep-25,宁波,64%
Sep-25,广州,49%
Sep-25,上海,35%
Sep-25,北京,34%
Sep-25,合计,35%
